n	repo	path	sha	license	url
69	coopnorge/demos	week40/cdk8s/istio/istio_crds.yaml	811687baf85481f3debd006319393a2a272cadb8	NOASSERTION	https://github.com/coopnorge/demos/blob/4831907b3cdb09f8f953b4928eab03a870ea6a10/week40/cdk8s/istio/istio_crds.yaml
70	deckhouse/deckhouse-test-2	modules/110-istio/_crds/istio/1.21/crd-all.gen.yaml	45f40e73b8ee2d04d30dd626fb03ed5e05100ab2	NOASSERTION	https://github.com/deckhouse/deckhouse-test-2/blob/293ed77c9ecf246944052e7b3e7de86d4366bece/modules/110-istio/_crds/istio/1.21/crd-all.gen.yaml
71	Sbelgana/SkaLean_MVP_V2	infrastructure/istio/security/request-authentication.yaml	4d03b07f86b736b68ba78c494c5aff315da52fa0	NOASSERTION	https://github.com/Sbelgana/SkaLean_MVP_V2/blob/3111a76e4c56b57e710a4b1cc21ac349d827c095/infrastructure/istio/security/request-authentication.yaml
72	deckhouse/deckhouse-test-1	modules/110-istio/_crds/istio/1.21/crd-all.gen.yaml	45f40e73b8ee2d04d30dd626fb03ed5e05100ab2	NOASSERTION	https://github.com/deckhouse/deckhouse-test-1/blob/f1814df3f4e33eb387ef0f637fa1ea29a902197b/modules/110-istio/_crds/istio/1.21/crd-all.gen.yaml
73	gaulzhw/learning-k8s	docs/k8s/istio/istio-1.11.4-default.yaml	95d8bf94d857943476e70958db00d7a6066074c1	NOASSERTION	https://github.com/gaulzhw/learning-k8s/blob/b7735f63b60fbc2879a0765b52ac242362a1df25/docs/k8s/istio/istio-1.11.4-default.yaml
74	maikereis/k8s-anomaly-detection-system	manifests/base/istio/request-authentication.yaml	a6c0f8f775f377a2d3993f0632c322963426c156	NOASSERTION	https://github.com/maikereis/k8s-anomaly-detection-system/blob/0c871212005724b873643961be8707940b3a43d0/manifests/base/istio/request-authentication.yaml
75	diyauncensored/self-healing-distributed-system	k8s/istio/security-policies.yaml	c0dab5c531dc92f4c70185d910825ebd36279c14	NOASSERTION	https://github.com/diyauncensored/self-healing-distributed-system/blob/e0de6e675cc1a43b9845d9fb0cec0d9f9c1757d9/k8s/istio/security-policies.yaml
76	risquanter/register-infra	infra/k8s/istio/request-authentication.yaml	1bfcd6ce49eda6298c96e5511012b2cd609fed92	NOASSERTION	https://github.com/risquanter/register-infra/blob/9b4b89ce682a3465d629dbb62b0658e12e86c407/infra/k8s/istio/request-authentication.yaml
77	Azure/osdu-spi-partition	devops/gc-quarkus/deploy/templates/request-authentication.yaml	24c04f39b3de06d60dcd7832fe65e2e842169888	NOASSERTION	https://github.com/Azure/osdu-spi-partition/blob/75c9a157095c821ab12709f0f90371730a5866cd/devops/gc-quarkus/deploy/templates/request-authentication.yaml
78	National-Digital-Twin/VISTA	k8s/bootstrap/overlays/prod/patches/request-authentication.yaml	1a708a0f2852c4bfeb4b6b24c4497aa032377ef4	NOASSERTION	https://github.com/National-Digital-Twin/VISTA/blob/df381fc6199566c7011d62efd0bdd364b5ec16ef/k8s/bootstrap/overlays/prod/patches/request-authentication.yaml
79	epam/edp-ddm-geo-server	deploy-templates/templates/istio-requestauth.yaml	004bd3d83a7b30af8af701186c7dd127058b8a7e	NOASSERTION	https://github.com/epam/edp-ddm-geo-server/blob/1077f444c3c4bb998649f67f18ff3724986a877f/deploy-templates/templates/istio-requestauth.yaml
80	papagala/kserve-graph-demo	istio/request-authentication.yaml	8225a20d369c171dfd2a764ef7245f0ba017327d	NOASSERTION	https://github.com/papagala/kserve-graph-demo/blob/d84fd58a3f20a925c240b232e33574b34ff486d4/istio/request-authentication.yaml
81	Nordix/istio-experimental	galley/testdatasets/validation/dataset/security-v1beta1-RequestAuthentication-invalid.yaml	52a7e13cb3fe254660fc43914b3266fcd03c5999	NOASSERTION	https://github.com/Nordix/istio-experimental/blob/1ee0e514ba5839e239410f100ed2927a8f3c3f5e/galley/testdatasets/validation/dataset/security-v1beta1-RequestAuthentication-invalid.yaml
82	elevy99927/k8s	istio/samples/warmup-exercise/1-istio-init.yaml	97b4330b1ac6b25ea85e541740c7720b3a67d23a	NOASSERTION	https://github.com/elevy99927/k8s/blob/e329819bbda0eb69f6df5ab2f2ca33ce4c71cef2/istio/samples/warmup-exercise/1-istio-init.yaml
83	Seenu-keshav/Microservices-with-Spring-Boot-and-Spring-Cloud	Chapter18/kubernetes/helm/common/templates/_istio_base.yaml	a65b64a48c8e98a12658da8306f31a73368418bb	NOASSERTION	https://github.com/Seenu-keshav/Microservices-with-Spring-Boot-and-Spring-Cloud/blob/bf73fc2cc880a22bd8b97b97d67391cad6c304ad/Chapter18/kubernetes/helm/common/templates/_istio_base.yaml
84	Doeun0913/MSA	Chapter18/kubernetes/helm/common/templates/_istio_base.yaml	a65b64a48c8e98a12658da8306f31a73368418bb	NOASSERTION	https://github.com/Doeun0913/MSA/blob/91f1a4c825924c4d5083e0311c48bd969a75fc99/Chapter18/kubernetes/helm/common/templates/_istio_base.yaml
85	hei-sso/MSA	Chapter18/kubernetes/helm/common/templates/_istio_base.yaml	a65b64a48c8e98a12658da8306f31a73368418bb	NOASSERTION	https://github.com/hei-sso/MSA/blob/b7f9188474676ec028eaffec205a47072d24fcae/Chapter18/kubernetes/helm/common/templates/_istio_base.yaml
86	JunYeong-Bang/MSA	Chapter18/kubernetes/helm/common/templates/_istio_base.yaml	a65b64a48c8e98a12658da8306f31a73368418bb	NOASSERTION	https://github.com/JunYeong-Bang/MSA/blob/d56d031c8761377f37bf198131f7ebbef5e591b6/Chapter18/kubernetes/helm/common/templates/_istio_base.yaml
87	rmaloneycvg/cqrs-dotnet-example-api	helm/clinic-api/templates/ring2-istio-gateway.yaml	0df2f5d7631b3761ce8aa0ecd3188477c3444cf5	NOASSERTION	https://github.com/rmaloneycvg/cqrs-dotnet-example-api/blob/1717a93c4433207b02af5d508629aa75fa86ed77/helm/clinic-api/templates/ring2-istio-gateway.yaml
